utc_timestamp,ES_solar_generation_actual,,9338
2014-12-31T23:00:00Z,,,
2015-01-01T00:00:00Z,,,
2015-01-01T01:00:00Z,50,,
2015-01-01T02:00:00Z,50,,
2015-01-01T03:00:00Z,42,,
2015-01-01T04:00:00Z,34,,
2015-01-01T05:00:00Z,34,,
2015-01-01T06:00:00Z,35,,
2015-01-01T07:00:00Z,54,,
2015-01-01T08:00:00Z,743,,
2015-01-01T09:00:00Z,2019,,
2015-01-01T10:00:00Z,3197,,
2015-01-01T11:00:00Z,3885,,
2015-01-01T12:00:00Z,4007,,
2015-01-01T13:00:00Z,3973,,
2015-01-01T14:00:00Z,3818,,
2015-01-01T15:00:00Z,3088,,
2015-01-01T16:00:00Z,1467,,
2015-01-01T17:00:00Z,404,,
2015-01-01T18:00:00Z,139,,
2015-01-01T19:00:00Z,100,,
2015-01-01T20:00:00Z,75,,
2015-01-01T21:00:00Z,74,,
2015-01-01T22:00:00Z,56,,
2015-01-01T23:00:00Z,48,,
2015-01-02T00:00:00Z,49,,
2015-01-02T01:00:00Z,48,,
2015-01-02T02:00:00Z,48,,
2015-01-02T03:00:00Z,47,,
2015-01-02T04:00:00Z,47,,
2015-01-02T05:00:00Z,47,,
2015-01-02T06:00:00Z,48,,
2015-01-02T07:00:00Z,73,,
2015-01-02T08:00:00Z,809,,
2015-01-02T09:00:00Z,1981,,
2015-01-02T10:00:00Z,3082,,
2015-01-02T11:00:00Z,3817,,
2015-01-02T12:00:00Z,3836,,
2015-01-02T13:00:00Z,3701,,
2015-01-02T14:00:00Z,3475,,
2015-01-02T15:00:00Z,2742,,
2015-01-02T16:00:00Z,1281,,
2015-01-02T17:00:00Z,328,,
2015-01-02T18:00:00Z,161,,
2015-01-02T19:00:00Z,124,,
2015-01-02T20:00:00Z,86,,
2015-01-02T21:00:00Z,62,,
2015-01-02T22:00:00Z,62,,
2015-01-02T23:00:00Z,62,,
2015-01-03T00:00:00Z,62,,
2015-01-03T01:00:00Z,62,,
2015-01-03T02:00:00Z,62,,
2015-01-03T03:00:00Z,60,,
2015-01-03T04:00:00Z,60,,
2015-01-03T05:00:00Z,60,,
2015-01-03T06:00:00Z,61,,
2015-01-03T07:00:00Z,85,,
2015-01-03T08:00:00Z,810,,
2015-01-03T09:00:00Z,2101,,
2015-01-03T10:00:00Z,3247,,
2015-01-03T11:00:00Z,3903,,
2015-01-03T12:00:00Z,3942,,
2015-01-03T13:00:00Z,3884,,
2015-01-03T14:00:00Z,3752,,
2015-01-03T15:00:00Z,3051,,
2015-01-03T16:00:00Z,1476,,
2015-01-03T17:00:00Z,402,,
2015-01-03T18:00:00Z,121,,
2015-01-03T19:00:00Z,91,,
2015-01-03T20:00:00Z,68,,
2015-01-03T21:00:00Z,68,,
2015-01-03T22:00:00Z,68,,
2015-01-03T23:00:00Z,67,,
2015-01-04T00:00:00Z,68,,
2015-01-04T01:00:00Z,68,,
2015-01-04T02:00:00Z,68,,
2015-01-04T03:00:00Z,68,,
2015-01-04T04:00:00Z,67,,
2015-01-04T05:00:00Z,68,,
2015-01-04T06:00:00Z,69,,
2015-01-04T07:00:00Z,88,,
2015-01-04T08:00:00Z,764,,
2015-01-04T09:00:00Z,2066,,
2015-01-04T10:00:00Z,3320,,
2015-01-04T11:00:00Z,3900,,
2015-01-04T12:00:00Z,3941,,
2015-01-04T13:00:00Z,3917,,
2015-01-04T14:00:00Z,3793,,
2015-01-04T15:00:00Z,3127,,
2015-01-04T16:00:00Z,1544,,
2015-01-04T17:00:00Z,383,,
2015-01-04T18:00:00Z,137,,
2015-01-04T19:00:00Z,122,,
2015-01-04T20:00:00Z,110,,
2015-01-04T21:00:00Z,111,,
2015-01-04T22:00:00Z,111,,
2015-01-04T23:00:00Z,109,,
2015-01-05T00:00:00Z,85,,
2015-01-05T01:00:00Z,65,,
2015-01-05T02:00:00Z,65,,
2015-01-05T03:00:00Z,65,,
2015-01-05T04:00:00Z,65,,
2015-01-05T05:00:00Z,66,,
2015-01-05T06:00:00Z,67,,
2015-01-05T07:00:00Z,83,,
2015-01-05T08:00:00Z,649,,
2015-01-05T09:00:00Z,1722,,
2015-01-05T10:00:00Z,2636,,
2015-01-05T11:00:00Z,3288,,
2015-01-05T12:00:00Z,3428,,
2015-01-05T13:00:00Z,3467,,
2015-01-05T14:00:00Z,3414,,
2015-01-05T15:00:00Z,2862,,
2015-01-05T16:00:00Z,1412,,
2015-01-05T17:00:00Z,376,,
2015-01-05T18:00:00Z,109,,
2015-01-05T19:00:00Z,73,,
2015-01-05T20:00:00Z,47,,
2015-01-05T21:00:00Z,41,,
2015-01-05T22:00:00Z,31,,
2015-01-05T23:00:00Z,31,,
2015-01-06T00:00:00Z,31,,
2015-01-06T01:00:00Z,31,,
2015-01-06T02:00:00Z,31,,
2015-01-06T03:00:00Z,31,,
2015-01-06T04:00:00Z,31,,
2015-01-06T05:00:00Z,31,,
2015-01-06T06:00:00Z,33,,
2015-01-06T07:00:00Z,49,,
2015-01-06T08:00:00Z,460,,
2015-01-06T09:00:00Z,1259,,
2015-01-06T10:00:00Z,1831,,
2015-01-06T11:00:00Z,2147,,
2015-01-06T12:00:00Z,2296,,
2015-01-06T13:00:00Z,2306,,
2015-01-06T14:00:00Z,2121,,
2015-01-06T15:00:00Z,1587,,
2015-01-06T16:00:00Z,594,,
2015-01-06T17:00:00Z,91,,
2015-01-06T18:00:00Z,41,,
2015-01-06T19:00:00Z,37,,
2015-01-06T20:00:00Z,32,,
2015-01-06T21:00:00Z,32,,
2015-01-06T22:00:00Z,32,,
2015-01-06T23:00:00Z,32,,
2015-01-07T00:00:00Z,32,,
2015-01-07T01:00:00Z,32,,
2015-01-07T02:00:00Z,32,,
2015-01-07T03:00:00Z,32,,
2015-01-07T04:00:00Z,32,,
2015-01-07T05:00:00Z,32,,
2015-01-07T06:00:00Z,34,,
2015-01-07T07:00:00Z,40,,
2015-01-07T08:00:00Z,355,,
2015-01-07T09:00:00Z,984,,
2015-01-07T10:00:00Z,1598,,
2015-01-07T11:00:00Z,2132,,
2015-01-07T12:00:00Z,2453,,
2015-01-07T13:00:00Z,2614,,
2015-01-07T14:00:00Z,2609,,
2015-01-07T15:00:00Z,2194,,
2015-01-07T16:00:00Z,1068,,
2015-01-07T17:00:00Z,303,,
2015-01-07T18:00:00Z,71,,
2015-01-07T19:00:00Z,56,,
2015-01-07T20:00:00Z,53,,
2015-01-07T21:00:00Z,53,,
2015-01-07T22:00:00Z,52,,
2015-01-07T23:00:00Z,52,,
2015-01-08T00:00:00Z,43,,
2015-01-08T01:00:00Z,36,,
2015-01-08T02:00:00Z,36,,
2015-01-08T03:00:00Z,36,,
2015-01-08T04:00:00Z,36,,
2015-01-08T05:00:00Z,36,,
2015-01-08T06:00:00Z,38,,
2015-01-08T07:00:00Z,47,,
2015-01-08T08:00:00Z,485,,
