latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.363796,-5.976074,21.0,0,GMT,GMT

time,temperature_2m (°C),cloud_cover (%),shortwave_radiation (W/m²),wind_speed_10m (km/h)
2015-01-01T00:00,3.2,0,0.0,8.3
2015-01-01T01:00,2.7,0,0.0,8.0
2015-01-01T02:00,2.3,0,0.0,8.5
2015-01-01T03:00,2.1,0,0.0,8.7
2015-01-01T04:00,1.9,0,0.0,9.0
2015-01-01T05:00,1.8,0,0.0,9.1
2015-01-01T06:00,1.8,0,0.0,9.0
2015-01-01T07:00,2.0,0,0.0,8.7
2015-01-01T08:00,2.1,0,4.0,9.0
2015-01-01T09:00,4.5,0,106.0,11.6
2015-01-01T10:00,8.6,0,269.0,11.5
2015-01-01T11:00,11.6,0,406.0,12.4
2015-01-01T12:00,13.3,0,493.0,14.3
2015-01-01T13:00,14.4,0,521.0,13.4
2015-01-01T14:00,15.1,0,485.0,12.1
2015-01-01T15:00,15.3,0,390.0,10.6
2015-01-01T16:00,14.7,0,250.0,7.0
2015-01-01T17:00,12.9,0,90.0,8.7
2015-01-01T18:00,11.1,0,2.0,8.0
2015-01-01T19:00,10.2,0,0.0,8.1
2015-01-01T20:00,9.1,0,0.0,8.0
2015-01-01T21:00,8.2,0,0.0,8.5
2015-01-01T22:00,7.5,0,0.0,8.8
2015-01-01T23:00,6.9,0,0.0,9.0
2015-01-02T00:00,6.4,0,0.0,8.7
2015-01-02T01:00,6.0,0,0.0,8.8
2015-01-02T02:00,5.7,0,0.0,9.3
2015-01-02T03:00,5.5,0,0.0,9.5
2015-01-02T04:00,5.3,0,0.0,9.7
2015-01-02T05:00,5.3,0,0.0,10.0
2015-01-02T06:00,5.2,0,0.0,10.2
2015-01-02T07:00,4.9,0,0.0,10.2
2015-01-02T08:00,4.9,0,3.0,10.5
2015-01-02T09:00,6.5,0,101.0,12.5
2015-01-02T10:00,9.4,0,260.0,10.7
2015-01-02T11:00,11.6,0,395.0,10.9
2015-01-02T12:00,13.3,0,481.0,11.0
2015-01-02T13:00,14.4,0,510.0,10.9
2015-01-02T14:00,15.1,0,477.0,10.8
2015-01-02T15:00,15.4,0,387.0,10.1
2015-01-02T16:00,14.9,0,250.0,7.1
2015-01-02T17:00,13.3,0,92.0,8.7
2015-01-02T18:00,11.5,4,2.0,8.2
2015-01-02T19:00,10.6,35,0.0,7.8
2015-01-02T20:00,9.6,47,0.0,7.9
2015-01-02T21:00,8.6,25,0.0,7.7
2015-01-02T22:00,7.8,0,0.0,7.6
2015-01-02T23:00,7.1,0,0.0,8.0
2015-01-03T00:00,6.6,0,0.0,8.2
2015-01-03T01:00,6.2,0,0.0,8.7
2015-01-03T02:00,5.9,0,0.0,9.2
2015-01-03T03:00,5.7,0,0.0,9.3
2015-01-03T04:00,5.5,0,0.0,9.0
2015-01-03T05:00,5.3,0,0.0,9.0
2015-01-03T06:00,5.1,0,0.0,9.3
2015-01-03T07:00,5.0,0,0.0,9.6
2015-01-03T08:00,5.0,0,3.0,10.1
2015-01-03T09:00,6.8,0,102.0,12.0
2015-01-03T10:00,9.9,0,261.0,11.0
2015-01-03T11:00,12.4,0,396.0,11.1
2015-01-03T12:00,14.3,0,481.0,10.8
2015-01-03T13:00,15.7,0,510.0,10.1
2015-01-03T14:00,16.6,0,478.0,9.9
2015-01-03T15:00,17.0,0,388.0,9.5
2015-01-03T16:00,16.5,0,252.0,6.6
2015-01-03T17:00,14.9,0,93.0,8.3
2015-01-03T18:00,13.0,0,2.0,8.4
2015-01-03T19:00,11.8,0,0.0,7.7
2015-01-03T20:00,10.4,0,0.0,7.1
2015-01-03T21:00,9.2,0,0.0,6.8
2015-01-03T22:00,8.2,0,0.0,6.8
2015-01-03T23:00,7.3,0,0.0,7.2
2015-01-04T00:00,6.5,0,0.0,7.5
2015-01-04T01:00,5.9,0,0.0,7.3
2015-01-04T02:00,5.5,0,0.0,7.4
2015-01-04T03:00,5.1,0,0.0,7.8
2015-01-04T04:00,4.7,0,0.0,7.4
2015-01-04T05:00,4.4,0,0.0,7.4
2015-01-04T06:00,4.2,0,0.0,7.6
2015-01-04T07:00,4.0,0,0.0,7.6
2015-01-04T08:00,3.8,0,3.0,7.8
2015-01-04T09:00,5.8,0,104.0,10.0
2015-01-04T10:00,10.4,0,266.0,7.6
2015-01-04T11:00,13.4,0,403.0,6.1
2015-01-04T12:00,15.3,0,491.0,6.0
2015-01-04T13:00,16.6,0,520.0,5.0
2015-01-04T14:00,17.4,0,488.0,4.2
2015-01-04T15:00,17.6,0,397.0,3.2
2015-01-04T16:00,17.1,0,259.0,1.8
2015-01-04T17:00,15.4,0,97.0,5.6
2015-01-04T18:00,12.5,0,2.0,7.1
2015-01-04T19:00,10.7,0,0.0,6.2
2015-01-04T20:00,9.8,0,0.0,5.4
2015-01-04T21:00,9.8,0,0.0,3.9
2015-01-04T22:00,9.0,0,0.0,2.5
2015-01-04T23:00,7.9,0,0.0,2.5
2015-01-05T00:00,6.6,0,0.0,3.4
2015-01-05T01:00,5.7,0,0.0,4.3
2015-01-05T02:00,4.9,0,0.0,4.3
2015-01-05T03:00,4.0,6,0.0,4.3
2015-01-05T04:00,3.6,6,0.0,4.8
2015-01-05T05:00,3.2,6,0.0,5.2
2015-01-05T06:00,2.7,6,0.0,6.1
2015-01-05T07:00,2.8,5,0.0,6.7
2015-01-05T08:00,2.6,6,3.0,6.0
2015-01-05T09:00,5.1,6,101.0,5.7
2015-01-05T10:00,8.5,1,258.0,3.1
2015-01-05T11:00,11.0,9,389.0,1.8
2015-01-05T12:00,12.6,4,476.0,2.5
2015-01-05T13:00,13.8,1,509.0,4.4
2015-01-05T14:00,14.5,0,479.0,5.4
2015-01-05T15:00,14.7,0,390.0,5.4
2015-01-05T16:00,14.5,17,255.0,5.2
2015-01-05T17:00,13.6,35,96.0,7.1
2015-01-05T18:00,11.9,30,3.0,8.0
2015-01-05T19:00,9.6,15,0.0,7.9
2015-01-05T20:00,10.0,16,0.0,6.2
2015-01-05T21:00,9.5,7,0.0,4.2
2015-01-05T22:00,8.8,6,0.0,3.6
2015-01-05T23:00,6.6,25,0.0,5.9
2015-01-06T00:00,5.0,57,0.0,5.8
2015-01-06T01:00,4.3,64,0.0,4.7
2015-01-06T02:00,4.1,54,0.0,4.1
2015-01-06T03:00,3.7,54,0.0,4.2
2015-01-06T04:00,2.9,61,0.0,4.1
2015-01-06T05:00,2.5,100,0.0,4.9
2015-01-06T06:00,2.3,100,0.0,5.3
2015-01-06T07:00,2.9,100,0.0,5.5
2015-01-06T08:00,3.3,100,3.0,4.8
2015-01-06T09:00,4.8,100,68.0,5.9
2015-01-06T10:00,7.7,100,175.0,3.2
2015-01-06T11:00,9.6,100,272.0,1.8
2015-01-06T12:00,11.5,97,371.0,0.4
2015-01-06T13:00,12.6,92,399.0,1.5
2015-01-06T14:00,13.1,88,328.0,0.7
2015-01-06T15:00,13.4,53,282.0,1.3
2015-01-06T16:00,13.3,32,209.0,2.5
2015-01-06T17:00,12.6,8,86.0,6.3
2015-01-06T18:00,11.3,0,3.0,7.4
2015-01-06T19:00,11.0,0,0.0,6.5
2015-01-06T20:00,10.1,0,0.0,3.3
2015-01-06T21:00,9.2,0,0.0,2.2
2015-01-06T22:00,7.2,3,0.0,4.8
2015-01-06T23:00,5.2,6,0.0,5.4
2015-01-07T00:00,3.9,9,0.0,6.2
2015-01-07T01:00,3.2,15,0.0,7.8
2015-01-07T02:00,2.9,24,0.0,8.0
2015-01-07T03:00,2.6,47,0.0,7.8
2015-01-07T04:00,2.4,43,0.0,8.2
2015-01-07T05:00,2.3,44,0.0,7.8
