latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.996483,23.709677,99.0,0,GMT,GMT

time,temperature_2m (°C),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²)
2015-01-01T00:00,3.5,100,28.1,0.0
2015-01-01T01:00,3.3,99,27.8,0.0
2015-01-01T02:00,3.2,100,28.9,0.0
2015-01-01T03:00,3.1,99,29.6,0.0
2015-01-01T04:00,3.1,100,29.7,0.0
2015-01-01T05:00,3.1,100,30.0,0.0
2015-01-01T06:00,3.1,100,29.9,1.0
2015-01-01T07:00,3.1,100,26.6,18.0
2015-01-01T08:00,3.2,100,26.0,60.0
2015-01-01T09:00,3.3,100,28.4,96.0
2015-01-01T10:00,3.6,100,26.6,143.0
2015-01-01T11:00,3.6,100,26.7,119.0
2015-01-01T12:00,3.8,100,27.2,146.0
2015-01-01T13:00,4.0,100,25.8,113.0
2015-01-01T14:00,3.7,99,21.9,52.0
2015-01-01T15:00,3.5,93,20.7,21.0
2015-01-01T16:00,3.5,96,19.2,1.0
2015-01-01T17:00,3.7,96,19.5,0.0
2015-01-01T18:00,3.9,97,19.8,0.0
2015-01-01T19:00,3.7,99,18.7,0.0
2015-01-01T20:00,3.7,92,18.0,0.0
2015-01-01T21:00,3.9,97,17.7,0.0
2015-01-01T22:00,4.2,94,14.7,0.0
2015-01-01T23:00,4.3,85,14.9,0.0
2015-01-02T00:00,4.3,90,14.3,0.0
2015-01-02T01:00,4.1,83,14.5,0.0
2015-01-02T02:00,4.1,83,15.9,0.0
2015-01-02T03:00,3.9,70,16.9,0.0
2015-01-02T04:00,3.7,63,16.9,0.0
2015-01-02T05:00,3.5,41,16.6,0.0
2015-01-02T06:00,3.3,52,16.2,2.0
2015-01-02T07:00,4.0,49,15.1,53.0
2015-01-02T08:00,5.0,58,17.7,187.0
2015-01-02T09:00,5.6,62,19.9,243.0
2015-01-02T10:00,6.1,68,16.2,287.0
2015-01-02T11:00,6.4,79,17.3,267.0
2015-01-02T12:00,6.6,97,17.0,289.0
2015-01-02T13:00,6.4,94,17.3,213.0
2015-01-02T14:00,6.0,96,17.3,136.0
2015-01-02T15:00,5.4,85,15.6,53.0
2015-01-02T16:00,4.6,70,13.8,1.0
2015-01-02T17:00,3.9,29,12.4,0.0
