latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²)
2015-01-01T00:00,3.8,71,14.4,0.0
2015-01-01T01:00,3.6,69,14.9,0.0
2015-01-01T02:00,3.3,95,14.6,0.0
2015-01-01T03:00,3.0,82,14.1,0.0
2015-01-01T04:00,2.3,67,13.0,0.0
2015-01-01T05:00,1.6,81,12.3,0.0
2015-01-01T06:00,0.9,84,14.8,0.0
2015-01-01T07:00,1.7,71,14.1,0.0
2015-01-01T08:00,1.8,27,13.3,5.0
2015-01-01T09:00,2.2,16,15.4,48.0
2015-01-01T10:00,3.0,9,14.8,136.0
2015-01-01T11:00,3.8,8,14.1,199.0
2015-01-01T12:00,4.2,5,13.8,202.0
2015-01-01T13:00,4.4,47,15.9,169.0
2015-01-01T14:00,4.0,43,15.3,103.0
2015-01-01T15:00,2.9,7,16.0,25.0
2015-01-01T16:00,2.0,94,15.0,0.0
2015-01-01T17:00,1.9,100,14.7,0.0
2015-01-01T18:00,2.2,100,15.0,0.0
2015-01-01T19:00,2.0,100,17.1,0.0
2015-01-01T20:00,1.9,100,19.1,0.0
2015-01-01T21:00,1.8,99,19.3,0.0
2015-01-01T22:00,1.8,100,19.6,0.0
2015-01-01T23:00,1.7,99,20.4,0.0
2015-01-02T00:00,1.6,97,21.9,0.0
2015-01-02T01:00,2.0,97,23.2,0.0
2015-01-02T02:00,2.7,87,23.7,0.0
2015-01-02T03:00,3.2,100,25.0,0.0
2015-01-02T04:00,3.6,100,24.4,0.0
2015-01-02T05:00,4.0,100,25.6,0.0
2015-01-02T06:00,3.5,100,26.3,0.0
2015-01-02T07:00,4.3,100,27.1,0.0
2015-01-02T08:00,4.8,100,27.6,1.0
2015-01-02T09:00,5.2,100,28.2,6.0
2015-01-02T10:00,6.0,100,28.6,16.0
2015-01-02T11:00,6.6,100,28.8,20.0
2015-01-02T12:00,7.0,100,30.5,17.0
2015-01-02T13:00,7.5,81,30.2,35.0
2015-01-02T14:00,7.3,40,28.4,49.0
2015-01-02T15:00,6.5,41,26.7,22.0
2015-01-02T16:00,5.9,34,26.6,0.0
2015-01-02T17:00,5.6,35,26.7,0.0
2015-01-02T18:00,5.5,43,27.2,0.0
2015-01-02T19:00,5.0,46,28.3,0.0
2015-01-02T20:00,4.8,45,28.6,0.0
2015-01-02T21:00,4.7,68,28.2,0.0
2015-01-02T22:00,4.6,64,25.7,0.0
2015-01-02T23:00,4.4,48,26.3,0.0
2015-01-03T00:00,4.3,47,28.1,0.0
2015-01-03T01:00,4.1,56,29.6,0.0
2015-01-03T02:00,3.9,44,30.3,0.0
2015-01-03T03:00,3.9,32,28.8,0.0
2015-01-03T04:00,3.7,54,26.6,0.0
2015-01-03T05:00,3.6,75,25.1,0.0
2015-01-03T06:00,3.3,100,25.4,0.0
2015-01-03T07:00,3.2,100,25.7,0.0
2015-01-03T08:00,3.2,100,27.9,9.0
2015-01-03T09:00,3.6,100,28.9,56.0
2015-01-03T10:00,4.2,100,27.6,92.0
2015-01-03T11:00,4.7,100,27.7,118.0
2015-01-03T12:00,5.0,100,27.6,129.0
2015-01-03T13:00,5.1,100,27.4,103.0
2015-01-03T14:00,4.8,98,25.9,66.0
2015-01-03T15:00,4.3,98,23.7,20.0
2015-01-03T16:00,3.8,100,23.1,0.0
2015-01-03T17:00,3.4,85,23.7,0.0
2015-01-03T18:00,3.1,96,23.3,0.0
2015-01-03T19:00,3.0,100,22.9,0.0
2015-01-03T20:00,3.0,100,22.7,0.0
2015-01-03T21:00,2.9,100,22.0,0.0
2015-01-03T22:00,3.0,86,20.8,0.0
2015-01-03T23:00,3.1,58,20.6,0.0
2015-01-04T00:00,3.0,79,21.3,0.0
2015-01-04T01:00,3.0,99,22.7,0.0
2015-01-04T02:00,3.0,97,24.3,0.0
2015-01-04T03:00,3.1,98,24.6,0.0
2015-01-04T04:00,3.2,77,25.4,0.0
