latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.861156,4.3315506,27.0,0,GMT,GMT

time,temperature_2m (°C),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²)
2015-01-01T00:00,0.7,35,11.5,0.0
2015-01-01T01:00,0.3,58,12.9,0.0
2015-01-01T02:00,0.1,53,14.0,0.0
2015-01-01T03:00,-0.1,57,15.6,0.0
2015-01-01T04:00,-0.2,64,15.1,0.0
2015-01-01T05:00,-0.1,56,12.3,0.0
2015-01-01T06:00,-0.1,74,17.4,0.0
2015-01-01T07:00,0.9,74,22.1,0.0
2015-01-01T08:00,1.0,83,22.4,0.0
2015-01-01T09:00,1.3,92,19.8,27.0
2015-01-01T10:00,1.9,50,19.1,89.0
2015-01-01T11:00,2.6,83,20.8,154.0
2015-01-01T12:00,3.1,84,20.6,188.0
2015-01-01T13:00,3.5,98,20.5,198.0
2015-01-01T14:00,3.4,98,21.6,152.0
2015-01-01T15:00,2.9,99,22.4,69.0
2015-01-01T16:00,2.4,100,23.3,12.0
2015-01-01T17:00,2.1,100,24.2,0.0
2015-01-01T18:00,2.1,99,25.6,0.0
2015-01-01T19:00,2.7,100,27.4,0.0
2015-01-01T20:00,2.6,100,28.9,0.0
2015-01-01T21:00,2.4,100,29.7,0.0
2015-01-01T22:00,2.4,47,30.1,0.0
2015-01-01T23:00,2.5,85,31.3,0.0
2015-01-02T00:00,2.8,80,31.2,0.0
2015-01-02T01:00,3.3,97,31.6,0.0
2015-01-02T02:00,4.2,100,32.0,0.0
2015-01-02T03:00,4.7,100,31.3,0.0
2015-01-02T04:00,5.4,100,31.0,0.0
2015-01-02T05:00,6.2,100,30.4,0.0
2015-01-02T06:00,7.0,100,29.8,0.0
2015-01-02T07:00,8.1,100,28.8,0.0
2015-01-02T08:00,8.9,100,27.1,0.0
2015-01-02T09:00,9.5,98,23.8,6.0
2015-01-02T10:00,9.8,100,21.1,20.0
2015-01-02T11:00,9.7,99,20.5,83.0
2015-01-02T12:00,9.0,90,20.7,92.0
2015-01-02T13:00,8.9,25,19.2,196.0
2015-01-02T14:00,8.2,8,18.6,159.0
2015-01-02T15:00,7.3,1,18.2,90.0
2015-01-02T16:00,6.2,1,17.8,16.0
2015-01-02T17:00,5.3,0,16.7,0.0
2015-01-02T18:00,4.5,3,15.1,0.0
2015-01-02T19:00,4.2,32,14.6,0.0
2015-01-02T20:00,3.7,28,14.9,0.0
2015-01-02T21:00,3.2,100,13.8,0.0
2015-01-02T22:00,2.7,100,13.0,0.0
2015-01-02T23:00,2.5,100,11.8,0.0
2015-01-03T00:00,2.6,100,10.8,0.0
2015-01-03T01:00,2.7,100,10.9,0.0
2015-01-03T02:00,2.6,100,12.8,0.0
2015-01-03T03:00,2.1,100,14.3,0.0
2015-01-03T04:00,2.5,100,15.6,0.0
2015-01-03T05:00,2.8,100,16.6,0.0
2015-01-03T06:00,3.1,100,17.9,0.0
2015-01-03T07:00,3.3,100,17.9,0.0
2015-01-03T08:00,3.4,100,18.9,0.0
2015-01-03T09:00,3.1,100,18.3,5.0
2015-01-03T10:00,2.3,100,13.4,17.0
2015-01-03T11:00,1.7,100,12.3,26.0
2015-01-03T12:00,1.7,100,13.9,29.0
2015-01-03T13:00,2.1,100,12.4,30.0
2015-01-03T14:00,2.4,100,10.2,14.0
2015-01-03T15:00,2.6,100,5.6,5.0
2015-01-03T16:00,2.3,100,8.0,1.0
2015-01-03T17:00,2.0,100,17.3,0.0
2015-01-03T18:00,2.1,100,13.7,0.0
2015-01-03T19:00,1.7,100,10.7,0.0
2015-01-03T20:00,1.9,100,9.5,0.0
2015-01-03T21:00,2.1,100,7.5,0.0
2015-01-03T22:00,2.4,97,8.1,0.0
2015-01-03T23:00,2.9,95,10.8,0.0
2015-01-04T00:00,3.4,94,12.2,0.0
2015-01-04T01:00,3.6,75,10.9,0.0
2015-01-04T02:00,3.5,80,8.8,0.0
2015-01-04T03:00,3.2,69,8.1,0.0
2015-01-04T04:00,3.0,67,9.1,0.0
2015-01-04T05:00,3.0,60,8.3,0.0
2015-01-04T06:00,2.8,44,8.3,0.0
2015-01-04T07:00,1.6,49,8.6,0.0
2015-01-04T08:00,1.5,47,9.5,0.0
2015-01-04T09:00,2.2,60,10.7,38.0
2015-01-04T10:00,3.5,44,10.5,94.0
2015-01-04T11:00,4.5,43,11.0,158.0
2015-01-04T12:00,5.2,35,11.2,191.0
2015-01-04T13:00,5.6,29,10.6,204.0
2015-01-04T14:00,5.4,24,9.7,151.0
2015-01-04T15:00,4.7,7,6.5,92.0
2015-01-04T16:00,3.3,24,7.4,18.0
2015-01-04T17:00,2.2,16,7.6,0.0
2015-01-04T18:00,1.3,13,7.7,0.0
2015-01-04T19:00,0.6,16,8.4,0.0
2015-01-04T20:00,0.4,15,8.9,0.0
2015-01-04T21:00,0.4,22,8.4,0.0
2015-01-04T22:00,-0.1,57,8.3,0.0
2015-01-04T23:00,-0.5,57,9.0,0.0
2015-01-05T00:00,-0.7,37,9.2,0.0
2015-01-05T01:00,-0.7,37,9.5,0.0
2015-01-05T02:00,-0.3,32,10.4,0.0
2015-01-05T03:00,-0.2,46,11.2,0.0
2015-01-05T04:00,-0.4,37,11.0,0.0
2015-01-05T05:00,-0.2,31,10.3,0.0
2015-01-05T06:00,-0.4,13,10.0,0.0
2015-01-05T07:00,-0.5,3,10.8,0.0
2015-01-05T08:00,-0.8,4,11.6,1.0
2015-01-05T09:00,-0.3,32,14.2,46.0
2015-01-05T10:00,0.8,92,14.0,129.0
2015-01-05T11:00,1.9,91,14.9,185.0
2015-01-05T12:00,2.8,58,13.8,225.0
2015-01-05T13:00,3.4,46,13.1,206.0
2015-01-05T14:00,3.6,47,12.1,159.0
2015-01-05T15:00,3.3,56,10.2,87.0
2015-01-05T16:00,2.6,73,9.8,15.0
2015-01-05T17:00,2.0,63,10.5,0.0
2015-01-05T18:00,1.7,45,11.0,0.0
2015-01-05T19:00,1.0,41,11.3,0.0
2015-01-05T20:00,0.6,45,11.3,0.0
2015-01-05T21:00,0.4,46,10.9,0.0
2015-01-05T22:00,0.1,40,10.0,0.0
2015-01-05T23:00,-0.1,43,10.4,0.0
2015-01-06T00:00,-0.5,22,9.5,0.0
2015-01-06T01:00,-0.9,52,9.1,0.0
2015-01-06T02:00,-1.0,78,8.7,0.0
2015-01-06T03:00,-1.2,96,9.4,0.0
2015-01-06T04:00,-1.5,88,9.7,0.0
2015-01-06T05:00,-1.6,91,9.7,0.0
2015-01-06T06:00,-1.5,95,9.7,0.0
2015-01-06T07:00,-1.3,94,10.5,0.0
2015-01-06T08:00,-1.3,94,11.7,1.0
2015-01-06T09:00,-0.5,93,13.9,39.0
2015-01-06T10:00,0.7,86,16.5,110.0
2015-01-06T11:00,1.6,79,17.7,179.0
2015-01-06T12:00,2.2,78,16.9,210.0
2015-01-06T13:00,2.6,94,16.6,192.0
2015-01-06T14:00,3.0,97,15.9,146.0
2015-01-06T15:00,2.9,94,15.9,74.0
2015-01-06T16:00,2.7,99,17.2,11.0
2015-01-06T17:00,3.3,100,19.2,0.0
2015-01-06T18:00,4.1,100,20.7,0.0
2015-01-06T19:00,3.9,100,21.8,0.0
2015-01-06T20:00,4.6,100,20.7,0.0
2015-01-06T21:00,5.3,97,17.5,0.0
2015-01-06T22:00,5.3,50,14.8,0.0
2015-01-06T23:00,4.6,6,12.3,0.0
2015-01-07T00:00,3.7,5,10.9,0.0
2015-01-07T01:00,2.5,8,10.7,0.0
2015-01-07T02:00,1.9,6,10.2,0.0
2015-01-07T03:00,1.4,29,10.0,0.0
2015-01-07T04:00,0.8,48,9.4,0.0
2015-01-07T05:00,0.2,33,9.7,0.0
2015-01-07T06:00,-0.2,26,10.5,0.0
2015-01-07T07:00,-0.2,13,11.5,0.0
2015-01-07T08:00,-0.3,3,12.2,1.0
2015-01-07T09:00,0.4,30,14.0,48.0
2015-01-07T10:00,1.9,13,14.7,128.0
2015-01-07T11:00,3.5,40,16.2,188.0
2015-01-07T12:00,4.3,31,16.8,190.0
2015-01-07T13:00,4.7,62,17.2,195.0
2015-01-07T14:00,4.6,95,17.8,156.0
2015-01-07T15:00,3.9,100,18.6,80.0
2015-01-07T16:00,3.0,100,19.2,14.0
2015-01-07T17:00,2.5,99,20.3,0.0
2015-01-07T18:00,2.2,100,20.7,0.0
2015-01-07T19:00,1.8,100,21.8,0.0
2015-01-07T20:00,2.0,100,22.5,0.0
2015-01-07T21:00,2.6,100,24.3,0.0
2015-01-07T22:00,3.2,100,24.8,0.0
2015-01-07T23:00,3.6,100,25.8,0.0
2015-01-08T00:00,4.1,100,25.7,0.0
2015-01-08T01:00,4.7,100,25.3,0.0
2015-01-08T02:00,5.2,100,25.2,0.0
2015-01-08T03:00,5.5,100,25.2,0.0
2015-01-08T04:00,5.6,100,25.7,0.0
2015-01-08T05:00,5.9,100,24.8,0.0
2015-01-08T06:00,6.3,100,24.5,0.0
2015-01-08T07:00,6.4,100,24.5,0.0
2015-01-08T08:00,6.7,100,24.5,0.0
2015-01-08T09:00,7.1,100,25.4,3.0
2015-01-08T10:00,7.5,100,25.1,9.0
2015-01-08T11:00,8.0,100,27.5,13.0
2015-01-08T12:00,8.3,100,28.3,11.0
2015-01-08T13:00,8.6,100,29.4,10.0
2015-01-08T14:00,9.0,100,33.6,7.0
2015-01-08T15:00,9.3,100,29.8,8.0
2015-01-08T16:00,6.7,96,23.5,3.0
2015-01-08T17:00,6.0,100,17.7,0.0
2015-01-08T18:00,6.2,100,18.8,0.0
2015-01-08T19:00,6.1,57,19.5,0.0
2015-01-08T20:00,6.1,23,18.2,0.0
2015-01-08T21:00,5.6,5,18.2,0.0
2015-01-08T22:00,5.4,92,18.7,0.0
2015-01-08T23:00,5.1,14,17.6,0.0
2015-01-09T00:00,5.2,100,22.3,0.0
2015-01-09T01:00,5.9,100,26.0,0.0
2015-01-09T02:00,6.5,100,27.6,0.0
2015-01-09T03:00,6.7,100,26.7,0.0
2015-01-09T04:00,6.7,100,26.6,0.0
2015-01-09T05:00,6.9,100,30.1,0.0
2015-01-09T06:00,7.2,100,32.0,0.0
2015-01-09T07:00,7.3,100,32.6,0.0
2015-01-09T08:00,7.7,100,33.4,0.0
2015-01-09T09:00,8.4,100,33.9,10.0
2015-01-09T10:00,9.4,100,29.2,34.0
2015-01-09T11:00,10.5,100,30.3,41.0
2015-01-09T12:00,11.3,100,31.3,41.0
2015-01-09T13:00,11.7,100,31.1,68.0
2015-01-09T14:00,11.6,100,31.6,47.0
2015-01-09T15:00,11.2,100,33.5,49.0
2015-01-09T16:00,10.6,100,31.8,8.0
