latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
55.641476,12.596349,17.0,0,GMT,GMT

time,temperature_2m (°C),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²)
2015-01-01T00:00,3.1,99,18.4,0.0
2015-01-01T01:00,3.5,99,19.8,0.0
2015-01-01T02:00,3.8,100,20.5,0.0
2015-01-01T03:00,4.1,100,20.3,0.0
2015-01-01T04:00,4.4,100,20.7,0.0
2015-01-01T05:00,4.7,100,22.8,0.0
2015-01-01T06:00,5.0,100,20.6,0.0
2015-01-01T07:00,5.6,99,22.3,0.0
2015-01-01T08:00,5.7,99,23.8,0.0
2015-01-01T09:00,5.8,100,25.8,11.0
2015-01-01T10:00,6.0,100,25.8,36.0
2015-01-01T11:00,6.1,100,26.7,42.0
2015-01-01T12:00,6.1,100,28.7,24.0
2015-01-01T13:00,6.0,100,27.5,25.0
2015-01-01T14:00,5.9,100,27.6,20.0
2015-01-01T15:00,5.7,100,24.8,3.0
2015-01-01T16:00,5.5,100,22.9,0.0
2015-01-01T17:00,5.2,100,25.9,0.0
2015-01-01T18:00,5.1,100,27.1,0.0
2015-01-01T19:00,5.3,100,29.3,0.0
2015-01-01T20:00,5.1,100,30.0,0.0
2015-01-01T21:00,4.9,100,30.8,0.0
2015-01-01T22:00,4.9,100,31.1,0.0
2015-01-01T23:00,5.1,100,32.1,0.0
2015-01-02T00:00,5.1,100,32.9,0.0
2015-01-02T01:00,5.2,100,35.9,0.0
2015-01-02T02:00,5.6,100,38.1,0.0
2015-01-02T03:00,6.1,100,39.7,0.0
2015-01-02T04:00,6.5,100,40.5,0.0
2015-01-02T05:00,7.3,100,40.9,0.0
2015-01-02T06:00,8.1,100,41.4,0.0
2015-01-02T07:00,9.2,100,40.7,0.0
2015-01-02T08:00,9.1,58,42.5,0.0
2015-01-02T09:00,8.4,57,44.3,28.0
2015-01-02T10:00,7.7,79,46.4,68.0
2015-01-02T11:00,7.0,37,46.8,51.0
2015-01-02T12:00,6.8,30,46.4,127.0
2015-01-02T13:00,6.1,29,44.8,110.0
2015-01-02T14:00,5.9,5,42.9,62.0
2015-01-02T15:00,5.4,3,41.4,12.0
2015-01-02T16:00,5.2,40,39.6,0.0
2015-01-02T17:00,5.1,59,39.6,0.0
2015-01-02T18:00,5.0,95,40.7,0.0
2015-01-02T19:00,4.9,95,42.7,0.0
2015-01-02T20:00,4.9,81,42.6,0.0
2015-01-02T21:00,4.9,29,42.4,0.0
2015-01-02T22:00,4.8,42,41.1,0.0
2015-01-02T23:00,4.4,25,41.0,0.0
2015-01-03T00:00,4.3,21,41.4,0.0
2015-01-03T01:00,4.3,32,43.5,0.0
2015-01-03T02:00,4.3,19,43.0,0.0
2015-01-03T03:00,4.2,38,40.9,0.0
2015-01-03T04:00,4.3,67,37.1,0.0
2015-01-03T05:00,4.1,63,37.6,0.0
2015-01-03T06:00,4.0,90,35.8,0.0
2015-01-03T07:00,4.2,92,34.9,0.0
2015-01-03T08:00,4.7,54,34.7,1.0
2015-01-03T09:00,5.1,60,31.1,26.0
2015-01-03T10:00,5.2,83,29.4,73.0
2015-01-03T11:00,5.5,22,28.4,112.0
2015-01-03T12:00,5.5,32,28.3,133.0
2015-01-03T13:00,5.3,75,27.1,107.0
2015-01-03T14:00,4.9,68,27.1,68.0
2015-01-03T15:00,4.2,67,27.5,12.0
2015-01-03T16:00,3.8,8,27.8,0.0
2015-01-03T17:00,3.5,7,27.9,0.0
2015-01-03T18:00,3.3,12,27.6,0.0
2015-01-03T19:00,3.2,13,27.0,0.0
2015-01-03T20:00,3.1,7,26.6,0.0
