latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.012302,-7.955139,22.0,0,GMT,GMT

time,temperature_2m (°C),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²)
2015-01-01T00:00,10.8,0,14.9,0.0
2015-01-01T01:00,10.8,0,15.0,0.0
2015-01-01T02:00,10.6,0,15.1,0.0
2015-01-01T03:00,10.5,0,14.6,0.0
2015-01-01T04:00,10.4,0,15.0,0.0
2015-01-01T05:00,10.3,0,15.5,0.0
2015-01-01T06:00,10.2,0,16.2,0.0
2015-01-01T07:00,9.9,0,16.1,0.0
2015-01-01T08:00,9.9,0,15.6,1.0
2015-01-01T09:00,10.7,0,15.3,88.0
2015-01-01T10:00,12.4,0,14.8,251.0
2015-01-01T11:00,14.0,0,13.8,392.0
2015-01-01T12:00,15.1,0,14.5,487.0
2015-01-01T13:00,15.6,0,17.1,523.0
2015-01-01T14:00,15.8,0,20.2,498.0
2015-01-01T15:00,15.7,0,21.9,413.0
2015-01-01T16:00,15.3,0,21.4,278.0
2015-01-01T17:00,14.7,0,20.3,116.0
2015-01-01T18:00,14.1,0,19.2,6.0
2015-01-01T19:00,14.0,0,18.5,0.0
2015-01-01T20:00,13.8,0,18.1,0.0
2015-01-01T21:00,13.7,0,16.8,0.0
2015-01-01T22:00,13.5,0,14.3,0.0
2015-01-01T23:00,13.2,0,13.0,0.0
2015-01-02T00:00,12.9,0,12.9,0.0
2015-01-02T01:00,12.5,0,13.3,0.0
2015-01-02T02:00,12.1,0,14.3,0.0
2015-01-02T03:00,11.7,0,15.2,0.0
2015-01-02T04:00,11.3,0,16.1,0.0
2015-01-02T05:00,10.9,0,17.1,0.0
2015-01-02T06:00,10.5,0,17.7,0.0
2015-01-02T07:00,10.5,0,18.4,0.0
2015-01-02T08:00,10.2,0,18.9,1.0
2015-01-02T09:00,10.5,0,19.5,85.0
2015-01-02T10:00,11.3,0,18.9,244.0
2015-01-02T11:00,12.2,0,18.0,383.0
2015-01-02T12:00,13.1,0,17.2,476.0
2015-01-02T13:00,13.8,0,16.5,513.0
2015-01-02T14:00,14.3,0,15.7,489.0
2015-01-02T15:00,14.6,0,15.5,406.0
2015-01-02T16:00,14.8,0,15.2,275.0
2015-01-02T17:00,14.5,0,14.3,116.0
2015-01-02T18:00,14.0,4,15.0,6.0
2015-01-02T19:00,13.7,18,15.0,0.0
2015-01-02T20:00,13.4,35,15.2,0.0
2015-01-02T21:00,13.1,9,15.3,0.0
2015-01-02T22:00,13.0,2,16.0,0.0
2015-01-02T23:00,12.9,1,17.1,0.0
2015-01-03T00:00,12.9,0,18.7,0.0
2015-01-03T01:00,12.7,0,19.8,0.0
2015-01-03T02:00,12.5,0,20.9,0.0
2015-01-03T03:00,12.1,0,20.8,0.0
2015-01-03T04:00,11.8,0,20.5,0.0
2015-01-03T05:00,11.6,0,20.1,0.0
2015-01-03T06:00,11.5,0,19.9,0.0
2015-01-03T07:00,11.5,0,20.2,0.0
2015-01-03T08:00,11.4,0,20.1,1.0
2015-01-03T09:00,11.8,0,20.6,85.0
2015-01-03T10:00,12.8,0,20.1,245.0
2015-01-03T11:00,13.7,0,19.2,385.0
2015-01-03T12:00,14.6,0,17.6,479.0
2015-01-03T13:00,15.4,0,16.0,516.0
2015-01-03T14:00,16.0,0,14.8,491.0
2015-01-03T15:00,16.4,0,13.5,409.0
2015-01-03T16:00,16.6,0,12.6,278.0
2015-01-03T17:00,16.2,0,12.0,118.0
2015-01-03T18:00,15.3,0,11.2,7.0
2015-01-03T19:00,14.3,0,10.5,0.0
2015-01-03T20:00,13.5,0,10.7,0.0
2015-01-03T21:00,12.9,0,11.9,0.0
2015-01-03T22:00,12.5,0,12.6,0.0
2015-01-03T23:00,12.3,0,13.8,0.0
2015-01-04T00:00,12.2,0,15.0,0.0
2015-01-04T01:00,12.1,0,15.3,0.0
2015-01-04T02:00,12.0,0,14.9,0.0
2015-01-04T03:00,11.9,0,14.4,0.0
2015-01-04T04:00,11.9,0,14.1,0.0
2015-01-04T05:00,11.9,0,13.8,0.0
2015-01-04T06:00,11.9,0,14.0,0.0
2015-01-04T07:00,12.2,0,14.3,0.0
2015-01-04T08:00,12.3,0,14.6,1.0
2015-01-04T09:00,12.8,0,14.3,85.0
2015-01-04T10:00,14.1,0,14.0,245.0
2015-01-04T11:00,15.2,0,13.8,386.0
2015-01-04T12:00,15.7,0,12.8,481.0
2015-01-04T13:00,16.1,0,11.2,518.0
2015-01-04T14:00,16.3,0,9.8,495.0
2015-01-04T15:00,16.3,0,8.6,413.0
2015-01-04T16:00,16.2,0,7.2,281.0
2015-01-04T17:00,15.7,0,5.8,121.0
2015-01-04T18:00,14.7,0,4.0,8.0
2015-01-04T19:00,15.0,0,2.7,0.0
2015-01-04T20:00,14.7,0,2.2,0.0
2015-01-04T21:00,14.4,0,2.7,0.0
2015-01-04T22:00,14.2,0,4.0,0.0
2015-01-04T23:00,14.0,0,4.7,0.0
2015-01-05T00:00,13.9,0,4.7,0.0
2015-01-05T01:00,13.7,0,4.6,0.0
2015-01-05T02:00,13.6,0,3.9,0.0
2015-01-05T03:00,13.5,0,3.7,0.0
2015-01-05T04:00,13.4,2,3.7,0.0
2015-01-05T05:00,13.3,6,3.7,0.0
2015-01-05T06:00,13.2,15,4.2,0.0
2015-01-05T07:00,13.3,21,4.8,0.0
2015-01-05T08:00,11.5,20,6.3,1.0
2015-01-05T09:00,10.7,14,8.0,71.0
2015-01-05T10:00,13.9,61,7.1,218.0
2015-01-05T11:00,14.6,41,7.1,332.0
2015-01-05T12:00,14.9,52,6.9,361.0
2015-01-05T13:00,15.2,33,6.1,450.0
2015-01-05T14:00,15.3,26,4.7,423.0
2015-01-05T15:00,15.3,46,4.0,364.0
2015-01-05T16:00,15.1,25,4.5,226.0
2015-01-05T17:00,14.6,64,6.0,95.0
2015-01-05T18:00,14.0,64,6.5,7.0
2015-01-05T19:00,12.9,96,6.7,0.0
2015-01-05T20:00,12.4,97,6.5,0.0
2015-01-05T21:00,12.2,96,6.8,0.0
2015-01-05T22:00,12.1,68,6.6,0.0
2015-01-05T23:00,11.9,71,9.2,0.0
2015-01-06T00:00,11.5,36,11.4,0.0
2015-01-06T01:00,11.2,100,12.7,0.0
2015-01-06T02:00,10.8,100,14.9,0.0
2015-01-06T03:00,10.4,100,17.0,0.0
2015-01-06T04:00,10.0,100,18.4,0.0
2015-01-06T05:00,9.6,100,18.4,0.0
2015-01-06T06:00,9.2,100,17.1,0.0
2015-01-06T07:00,9.0,92,16.3,0.0
2015-01-06T08:00,9.0,79,15.6,1.0
2015-01-06T09:00,9.3,35,14.8,37.0
2015-01-06T10:00,9.7,14,12.3,157.0
2015-01-06T11:00,10.4,6,11.9,267.0
2015-01-06T12:00,11.3,4,10.5,393.0
2015-01-06T13:00,12.3,0,8.4,487.0
2015-01-06T14:00,13.2,0,7.2,506.0
2015-01-06T15:00,13.7,0,7.1,418.0
2015-01-06T16:00,13.9,0,8.5,287.0
2015-01-06T17:00,13.6,0,9.0,126.0
2015-01-06T18:00,12.7,0,11.0,9.0
2015-01-06T19:00,12.3,5,12.3,0.0
2015-01-06T20:00,11.7,3,13.3,0.0
2015-01-06T21:00,11.2,3,14.4,0.0
2015-01-06T22:00,10.9,2,16.4,0.0
2015-01-06T23:00,10.5,0,18.2,0.0
2015-01-07T00:00,10.3,0,18.8,0.0
2015-01-07T01:00,9.9,0,18.6,0.0
2015-01-07T02:00,9.7,0,16.6,0.0
2015-01-07T03:00,9.5,0,14.5,0.0
2015-01-07T04:00,9.2,0,11.7,0.0
2015-01-07T05:00,8.8,19,9.4,0.0
2015-01-07T06:00,8.6,17,11.5,0.0
2015-01-07T07:00,8.1,19,14.4,0.0
2015-01-07T08:00,7.9,18,15.5,1.0
2015-01-07T09:00,8.0,2,15.7,76.0
2015-01-07T10:00,8.9,1,15.9,223.0
2015-01-07T11:00,10.3,0,14.0,362.0
2015-01-07T12:00,11.7,0,11.9,483.0
2015-01-07T13:00,12.7,0,9.9,525.0
2015-01-07T14:00,13.4,0,8.4,503.0
2015-01-07T15:00,13.8,0,7.1,421.0
2015-01-07T16:00,14.0,0,6.7,290.0
2015-01-07T17:00,13.8,0,6.4,129.0
2015-01-07T18:00,12.8,0,6.9,10.0
2015-01-07T19:00,11.3,0,7.4,0.0
2015-01-07T20:00,10.7,0,9.0,0.0
2015-01-07T21:00,10.4,0,11.0,0.0
2015-01-07T22:00,10.3,0,12.4,0.0
2015-01-07T23:00,10.2,0,14.7,0.0
2015-01-08T00:00,10.1,0,16.5,0.0
2015-01-08T01:00,10.2,0,16.5,0.0
2015-01-08T02:00,10.3,1,16.5,0.0
2015-01-08T03:00,10.4,0,16.9,0.0
2015-01-08T04:00,10.4,0,17.1,0.0
2015-01-08T05:00,10.3,1,17.1,0.0
2015-01-08T06:00,10.2,0,17.3,0.0
2015-01-08T07:00,9.7,0,17.8,0.0
2015-01-08T08:00,9.6,1,18.6,1.0
2015-01-08T09:00,10.1,0,19.4,82.0
2015-01-08T10:00,11.2,0,20.4,237.0
2015-01-08T11:00,12.4,0,21.0,384.0
2015-01-08T12:00,13.3,0,20.6,487.0
2015-01-08T13:00,14.0,0,19.5,521.0
2015-01-08T14:00,14.6,0,17.0,498.0
2015-01-08T15:00,15.1,0,16.9,417.0
2015-01-08T16:00,15.4,0,18.1,290.0
2015-01-08T17:00,15.1,0,18.4,130.0
2015-01-08T18:00,14.5,0,17.6,10.0
2015-01-08T19:00,14.1,9,15.3,0.0
2015-01-08T20:00,13.6,31,15.5,0.0
2015-01-08T21:00,13.1,26,18.5,0.0
2015-01-08T22:00,12.6,0,22.4,0.0
2015-01-08T23:00,12.2,0,24.0,0.0
2015-01-09T00:00,12.0,0,24.5,0.0
2015-01-09T01:00,11.8,0,24.5,0.0
2015-01-09T02:00,11.7,0,25.0,0.0
2015-01-09T03:00,11.6,0,26.1,0.0
2015-01-09T04:00,11.6,0,27.2,0.0
2015-01-09T05:00,11.6,0,28.2,0.0
2015-01-09T06:00,11.5,2,29.2,0.0
2015-01-09T07:00,11.4,0,29.8,0.0
2015-01-09T08:00,11.5,1,30.1,1.0
2015-01-09T09:00,11.8,3,30.4,86.0
2015-01-09T10:00,12.5,3,32.2,248.0
2015-01-09T11:00,13.3,0,32.3,387.0
2015-01-09T12:00,14.2,0,31.8,484.0
2015-01-09T13:00,15.0,0,30.8,527.0
2015-01-09T14:00,15.7,0,30.1,506.0
2015-01-09T15:00,16.2,0,29.1,425.0
2015-01-09T16:00,16.4,0,27.9,294.0
2015-01-09T17:00,16.1,0,27.0,133.0
2015-01-09T18:00,15.4,0,24.0,11.0
2015-01-09T19:00,15.0,0,22.9,0.0
2015-01-09T20:00,14.7,0,23.2,0.0
2015-01-09T21:00,14.4,0,23.5,0.0
2015-01-09T22:00,14.1,0,24.2,0.0
2015-01-09T23:00,13.8,0,24.6,0.0
2015-01-10T00:00,13.5,0,25.7,0.0
2015-01-10T01:00,13.1,0,27.3,0.0
2015-01-10T02:00,12.8,0,27.9,0.0
2015-01-10T03:00,12.7,0,27.2,0.0
2015-01-10T04:00,12.6,0,25.8,0.0
2015-01-10T05:00,12.5,0,24.5,0.0
2015-01-10T06:00,12.3,1,24.1,0.0
2015-01-10T07:00,12.3,1,24.0,0.0
2015-01-10T08:00,12.1,0,23.9,1.0
2015-01-10T09:00,12.5,1,23.1,84.0
2015-01-10T10:00,13.4,4,19.7,240.0
2015-01-10T11:00,14.3,10,17.8,383.0
2015-01-10T12:00,15.0,1,15.8,479.0
2015-01-10T13:00,15.6,97,14.9,520.0
2015-01-10T14:00,16.1,99,13.7,495.0
2015-01-10T15:00,16.4,93,11.9,389.0
2015-01-10T16:00,16.6,57,9.7,240.0
2015-01-10T17:00,16.4,32,6.8,118.0
2015-01-10T18:00,15.2,20,2.9,11.0
2015-01-10T19:00,15.4,4,0.8,0.0
2015-01-10T20:00,14.4,3,3.9,0.0
2015-01-10T21:00,12.0,3,6.0,0.0
2015-01-10T22:00,10.9,5,6.0,0.0
2015-01-10T23:00,10.5,4,7.4,0.0
2015-01-11T00:00,11.0,2,9.1,0.0
2015-01-11T01:00,11.1,0,9.0,0.0
2015-01-11T02:00,11.1,1,10.1,0.0
2015-01-11T03:00,11.0,2,12.8,0.0
2015-01-11T04:00,11.4,0,13.7,0.0
2015-01-11T05:00,11.4,0,14.1,0.0
2015-01-11T06:00,11.4,0,15.1,0.0
2015-01-11T07:00,11.3,0,16.9,0.0
2015-01-11T08:00,11.6,0,19.5,1.0
2015-01-11T09:00,12.2,0,21.0,86.0
2015-01-11T10:00,13.6,0,16.3,247.0
2015-01-11T11:00,15.0,0,11.3,391.0
2015-01-11T12:00,16.3,0,4.8,489.0
2015-01-11T13:00,17.0,0,5.5,529.0
2015-01-11T14:00,17.3,0,9.0,508.0
2015-01-11T15:00,17.6,4,9.4,428.0
2015-01-11T16:00,17.6,0,8.5,299.0
2015-01-11T17:00,17.2,0,7.6,138.0
2015-01-11T18:00,15.7,0,7.3,13.0
2015-01-11T19:00,14.1,3,8.6,0.0
2015-01-11T20:00,13.2,8,10.4,0.0
2015-01-11T21:00,12.9,8,13.0,0.0
2015-01-11T22:00,12.7,10,14.4,0.0
2015-01-11T23:00,12.5,30,14.8,0.0
2015-01-12T00:00,12.3,70,14.6,0.0
2015-01-12T01:00,12.2,78,14.5,0.0
2015-01-12T02:00,12.1,75,15.6,0.0
2015-01-12T03:00,12.0,72,16.6,0.0
2015-01-12T04:00,12.1,61,16.1,0.0
2015-01-12T05:00,12.1,84,15.1,0.0
2015-01-12T06:00,12.1,95,15.6,0.0
2015-01-12T07:00,12.5,88,16.5,0.0
2015-01-12T08:00,12.7,64,18.1,1.0
2015-01-12T09:00,13.2,28,19.2,85.0
2015-01-12T10:00,14.1,8,17.4,234.0
2015-01-12T11:00,15.1,5,16.6,382.0
2015-01-12T12:00,15.6,22,16.8,481.0
2015-01-12T13:00,15.9,20,16.8,516.0
2015-01-12T14:00,16.0,15,16.7,473.0
2015-01-12T15:00,16.1,27,16.6,403.0
2015-01-12T16:00,15.9,21,16.2,242.0
2015-01-12T17:00,15.6,37,15.2,104.0
2015-01-12T18:00,15.2,11,15.7,12.0
2015-01-12T19:00,15.1,1,16.0,0.0
2015-01-12T20:00,14.8,1,16.2,0.0
