latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.862915,12.539912,59.0,0,GMT,GMT

time,temperature_2m (°C),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²)
2015-01-01T00:00,-0.2,0,16.7,0.0
2015-01-01T01:00,-0.5,1,16.8,0.0
2015-01-01T02:00,-0.7,0,15.9,0.0
2015-01-01T03:00,-0.9,3,15.2,0.0
2015-01-01T04:00,-0.9,0,14.5,0.0
2015-01-01T05:00,-0.9,2,14.3,0.0
2015-01-01T06:00,-0.9,0,14.9,0.0
2015-01-01T07:00,-0.1,1,15.5,3.0
2015-01-01T08:00,0.9,0,16.3,90.0
2015-01-01T09:00,2.8,0,16.9,229.0
2015-01-01T10:00,4.8,0,19.0,343.0
2015-01-01T11:00,6.3,0,20.9,408.0
2015-01-01T12:00,7.3,9,22.4,418.0
2015-01-01T13:00,7.7,3,23.2,368.0
2015-01-01T14:00,7.6,0,22.0,275.0
2015-01-01T15:00,6.7,0,21.4,145.0
2015-01-01T16:00,5.3,0,20.9,25.0
2015-01-01T17:00,4.2,0,20.8,0.0
2015-01-01T18:00,3.5,0,19.2,0.0
2015-01-01T19:00,3.3,1,16.2,0.0
2015-01-01T20:00,3.0,4,14.5,0.0
2015-01-01T21:00,2.7,19,13.1,0.0
2015-01-01T22:00,2.3,6,11.6,0.0
2015-01-01T23:00,1.9,23,10.6,0.0
2015-01-02T00:00,1.4,13,9.5,0.0
2015-01-02T01:00,1.0,6,9.2,0.0
2015-01-02T02:00,0.8,3,8.4,0.0
2015-01-02T03:00,0.6,1,7.7,0.0
2015-01-02T04:00,0.4,0,7.0,0.0
2015-01-02T05:00,0.3,0,6.5,0.0
2015-01-02T06:00,0.1,0,6.2,0.0
2015-01-02T07:00,0.3,2,6.1,3.0
2015-01-02T08:00,1.3,0,6.8,82.0
2015-01-02T09:00,4.2,0,4.2,214.0
2015-01-02T10:00,6.5,2,3.6,323.0
2015-01-02T11:00,8.1,3,2.4,388.0
2015-01-02T12:00,9.2,2,2.3,400.0
2015-01-02T13:00,9.7,0,5.2,357.0
2015-01-02T14:00,9.7,0,5.1,267.0
2015-01-02T15:00,9.3,0,4.1,142.0
2015-01-02T16:00,8.5,0,3.4,25.0
2015-01-02T17:00,8.1,0,2.3,0.0
2015-01-02T18:00,7.4,0,0.7,0.0
2015-01-02T19:00,7.7,0,1.8,0.0
2015-01-02T20:00,7.0,28,2.3,0.0
2015-01-02T21:00,5.1,75,3.2,0.0
2015-01-02T22:00,3.9,85,2.1,0.0
2015-01-02T23:00,2.9,89,2.4,0.0
2015-01-03T00:00,2.3,46,2.4,0.0
2015-01-03T01:00,2.0,50,2.3,0.0
2015-01-03T02:00,1.7,70,2.6,0.0
2015-01-03T03:00,1.6,40,2.7,0.0
2015-01-03T04:00,1.4,24,3.1,0.0
2015-01-03T05:00,1.3,43,4.6,0.0
