latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.189804,16.377296,194.0,0,GMT,GMT

time,temperature_2m (°C),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²)
2015-01-01T00:00,-2.7,98,4.3,0.0
2015-01-01T01:00,-2.3,94,4.7,0.0
2015-01-01T02:00,-2.0,96,5.3,0.0
2015-01-01T03:00,-2.1,96,7.2,0.0
2015-01-01T04:00,-2.0,99,7.6,0.0
2015-01-01T05:00,-0.9,97,10.8,0.0
2015-01-01T06:00,0.4,95,13.4,0.0
2015-01-01T07:00,0.6,99,14.5,0.0
2015-01-01T08:00,1.0,97,15.4,11.0
2015-01-01T09:00,1.5,97,15.7,35.0
2015-01-01T10:00,1.9,100,14.8,64.0
2015-01-01T11:00,2.0,100,15.0,57.0
2015-01-01T12:00,2.0,100,14.5,31.0
2015-01-01T13:00,2.1,100,14.8,25.0
2015-01-01T14:00,2.1,100,14.9,22.0
2015-01-01T15:00,2.1,100,14.8,9.0
2015-01-01T16:00,2.1,100,13.9,0.0
2015-01-01T17:00,2.1,62,12.6,0.0
2015-01-01T18:00,2.1,35,12.4,0.0
2015-01-01T19:00,1.5,95,10.8,0.0
2015-01-01T20:00,2.0,82,10.1,0.0
2015-01-01T21:00,2.1,73,9.4,0.0
2015-01-01T22:00,2.1,72,9.7,0.0
2015-01-01T23:00,1.5,83,8.4,0.0
2015-01-02T00:00,0.4,58,9.4,0.0
2015-01-02T01:00,-0.7,82,8.1,0.0
2015-01-02T02:00,-1.4,97,8.9,0.0
2015-01-02T03:00,-3.2,87,7.7,0.0
2015-01-02T04:00,-3.8,99,9.2,0.0
2015-01-02T05:00,-3.6,94,10.7,0.0
2015-01-02T06:00,-3.2,82,10.8,0.0
2015-01-02T07:00,-2.4,73,12.5,1.0
2015-01-02T08:00,-2.4,85,12.7,49.0
2015-01-02T09:00,-0.7,85,16.3,144.0
2015-01-02T10:00,3.1,81,16.6,230.0
2015-01-02T11:00,7.0,82,17.0,270.0
2015-01-02T12:00,8.6,89,16.9,257.0
2015-01-02T13:00,9.0,96,23.7,196.0
2015-01-02T14:00,8.5,99,23.0,73.0
2015-01-02T15:00,7.4,100,24.5,11.0
2015-01-02T16:00,7.1,100,25.2,0.0
2015-01-02T17:00,6.7,100,25.4,0.0
2015-01-02T18:00,6.6,100,25.4,0.0
2015-01-02T19:00,5.5,98,25.3,0.0
2015-01-02T20:00,5.3,88,25.6,0.0
2015-01-02T21:00,5.2,85,24.4,0.0
2015-01-02T22:00,4.7,68,20.7,0.0
2015-01-02T23:00,4.3,64,20.7,0.0
2015-01-03T00:00,4.0,70,21.7,0.0
2015-01-03T01:00,3.7,80,22.6,0.0
2015-01-03T02:00,3.3,86,24.6,0.0
2015-01-03T03:00,3.1,97,25.1,0.0
2015-01-03T04:00,2.9,99,25.0,0.0
2015-01-03T05:00,2.6,100,24.9,0.0
2015-01-03T06:00,2.3,100,23.8,0.0
2015-01-03T07:00,2.6,100,22.7,0.0
2015-01-03T08:00,2.9,100,22.7,37.0
2015-01-03T09:00,3.4,100,22.4,126.0
2015-01-03T10:00,4.0,99,21.6,216.0
2015-01-03T11:00,4.5,100,22.0,257.0
2015-01-03T12:00,4.7,100,18.1,162.0
2015-01-03T13:00,4.7,100,13.2,112.0
2015-01-03T14:00,4.4,100,8.5,43.0
2015-01-03T15:00,3.9,100,8.0,14.0
2015-01-03T16:00,3.3,100,8.1,0.0
2015-01-03T17:00,2.5,100,8.0,0.0
2015-01-03T18:00,1.7,100,8.4,0.0
2015-01-03T19:00,0.9,99,8.4,0.0
2015-01-03T20:00,0.7,100,7.5,0.0
2015-01-03T21:00,0.9,100,4.7,0.0
2015-01-03T22:00,0.8,100,2.5,0.0
2015-01-03T23:00,0.8,100,1.8,0.0
2015-01-04T00:00,0.4,100,6.4,0.0
2015-01-04T01:00,0.8,100,12.8,0.0
2015-01-04T02:00,1.1,100,18.9,0.0
2015-01-04T03:00,1.4,80,20.6,0.0
2015-01-04T04:00,1.9,74,24.5,0.0
2015-01-04T05:00,2.2,52,25.0,0.0
2015-01-04T06:00,2.1,62,25.6,0.0
2015-01-04T07:00,1.9,93,26.9,0.0
2015-01-04T08:00,2.2,80,27.7,45.0
2015-01-04T09:00,2.6,86,29.7,127.0
2015-01-04T10:00,3.1,42,24.6,221.0
2015-01-04T11:00,3.5,50,28.2,253.0
2015-01-04T12:00,4.2,36,30.4,257.0
2015-01-04T13:00,3.1,54,31.4,190.0
2015-01-04T14:00,3.1,66,29.1,104.0
2015-01-04T15:00,2.5,52,27.5,46.0
2015-01-04T16:00,2.2,43,26.4,0.0
2015-01-04T17:00,1.6,50,26.0,0.0
2015-01-04T18:00,1.4,72,26.5,0.0
2015-01-04T19:00,1.6,87,27.4,0.0
2015-01-04T20:00,1.4,92,27.3,0.0
2015-01-04T21:00,1.1,69,27.5,0.0
2015-01-04T22:00,1.2,62,23.7,0.0
2015-01-04T23:00,1.1,58,26.4,0.0
2015-01-05T00:00,0.8,33,26.4,0.0
2015-01-05T01:00,0.5,9,24.5,0.0
2015-01-05T02:00,0.2,8,23.4,0.0
2015-01-05T03:00,0.2,10,22.5,0.0
2015-01-05T04:00,-0.0,49,21.6,0.0
2015-01-05T05:00,0.2,83,21.6,0.0
2015-01-05T06:00,0.4,76,21.0,0.0
2015-01-05T07:00,1.1,97,21.4,0.0
2015-01-05T08:00,1.3,100,23.7,30.0
2015-01-05T09:00,2.4,98,26.3,73.0
2015-01-05T10:00,3.2,98,23.8,79.0
2015-01-05T11:00,3.3,99,25.8,80.0
2015-01-05T12:00,2.8,100,26.2,74.0
2015-01-05T13:00,2.4,100,28.5,59.0
2015-01-05T14:00,2.4,99,29.2,44.0
2015-01-05T15:00,2.2,98,28.5,12.0
2015-01-05T16:00,2.0,100,27.1,0.0
2015-01-05T17:00,1.9,100,25.7,0.0
2015-01-05T18:00,1.8,100,24.2,0.0
2015-01-05T19:00,1.6,100,23.2,0.0
2015-01-05T20:00,1.6,99,22.1,0.0
2015-01-05T21:00,1.6,100,20.7,0.0
